"Environment and Climate Change Canada"
"Monthly Values for September - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","15.1","0",NA,"26.5","0","7.0","0","0.0","0",NA,"149.9","0",NA,"0.0","14","","",NA,"90.1","3.8","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","13.9","15","-1.3","31.0","11","3.0","11","0.0","28",NA,"140.1","18",NA,"","8","","",NA,"63.7","1.5","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"22.2","0","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","13.8","0",NA,"24.1","0","7.4","0","",,NA,"37.2","0",NA,"","10","",,NA,"126.2","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","14.9","5",NA,"26.0","5","8.0","5","0.0","5",NA,"90.6","5",NA,"","12","","",NA,"78.4","1.3","10130MN"
"MALAHAT","48.575","-123.530","BC","14.4","0",NA,"28.5","0","6.4","0","",,NA,"61.2","0",NA,"","10","",,NA,"116.4","8.8","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","8",NA,"40.2","8",NA,"","9","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0","0.0","105.0","0","290.0","0.0","14","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","14.6","2",NA,"28.8","2","3.9","2","",,NA,"81.3","2",NA,"","11","",,NA,"96.4","0.5","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","15.5","1",NA,"28.5","1","7.5","1","0.0","1",NA,"71.8","1",NA,"0.0","13","","",NA,"78.9","5.6","1015638"
"RACE ROCKS","48.298","-123.531","BC","13.2","1",NA,"21.2","1","8.4","1","",,NA,"",,NA,"","","",,NA,"139.0","0.0","1016640"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","15.4","0","0.0","28.0","0","8.5","0","0.0","0",NA,"76.1","0","230.0","0.0","12","","",NA,"82.6","4.1","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","24",NA,"36.2","24",NA,"0.0","6","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","12.2","19",NA,"20.5","19","6.4","19","",,NA,"107.2","1",NA,"","12","",,NA,"63.9","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","14.7","1",NA,"22.4","1","8.7","1","",,NA,"64.0","1",NA,"","11","",,NA,"97.1","0.4","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","14.4","0","-0.5","27.5","0","6.5","0","0.0","0",NA,"75.5","0","227.0","0.0","10","","",NA,"108.5","0.3","1017230"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","14.1","0",NA,"26.1","0","5.7","0","",,NA,"27.4","0",NA,"","9","",,NA,"116.6","0.0","1018598"
"VICTORIA GONZALES CS","48.413","-123.325","BC","14.3","0",NA,"23.3","0","8.0","0","",,NA,"27.6","0",NA,"","9","",,NA,"112.3","0.3","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","14.2","1",NA,"24.6","0","5.3","1","0.0","0",NA,"63.2","0",NA,"","12","",,NA,"109.0","0.0","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","14.5","0",NA,"21.2","0","9.8","0","",,NA,"97.8","0",NA,"","11","",,NA,"106.8","0.4","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","13.0","0","-0.8","26.5","0","1.5","0","0.0","0",NA,"206.6","0","374.0","0.0","15","","",NA,"151.1","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","14.1","0","-0.1","24.5","0","7.0","0","0.0","0",NA,"221.0","0","377.0","0.0","12","","",NA,"118.0","1.3","1021330"
"CHROME ISLAND","49.472","-124.683","BC","13.8","0",NA,"24.5","0","6.0","0","0.0","0",NA,"164.2","0",NA,"0.0","14","","",NA,"127.8","1.3","1021500"
"COMOX A","49.717","-124.900","BC","14.2","2","-0.3","23.9","2","6.5","2","0.0","2",NA,"138.5","2",NA,"","12","",,NA,"107.5","1.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","14.2","0",NA,"27.0","0","4.0","0","0.0","0",NA,"246.6","0",NA,"0.0","16","","",NA,"115.9","1.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","12.3","26",NA,"15.5","26","10.0","26","0.0","26",NA,"53.0","26",NA,"0.0","4","","",NA,"22.7","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","13.9","10",NA,"33.0","7","4.0","8","0.0","7",NA,"133.1","7",NA,"0.0","9","","",NA,"84.0","1.5","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","14.5","0",NA,"21.7","0","11.0","0","",,NA,"65.2","0",NA,"","12","",,NA,"106.4","1.6","1022689"
"FANNY ISLAND","50.454","-125.993","BC","12.6","3",NA,"20.4","3","7.2","3","",,NA,"132.8","3",NA,"","13","",,NA,"144.8","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","13.6","5",NA,"24.0","5","6.0","5","0.0","5",NA,"355.2","5",NA,"0.0","11","","",NA,"110.5","0.3","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","12.6","6","-0.6","27.0","6","1.5","6","0.0","6",NA,"113.0","6",NA,"0.0","14","","",NA,"129.2","0.0","1024638"
"NANAIMO A","49.054","-123.870","BC","14.3","0",NA,"28.0","0","4.5","0","0.0","0",NA,"117.4","0",NA,"0.0","14","","",NA,"111.8","1.5","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"129.9","0","351.0","0.0","16","","",NA,"","","10253G0"
